,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,s_DC1,S_DC1,s_DC2,S_DC2,s_r1,S_r1,profit
51,787500,603500,522500,982000,462000,623500,498000,863500,501000,576000,810000,691500,2117265,3651898,1769805,3842997,1638677,3430157,3669366680
52,906500,1060500,1029000,955000,452000,771000,988000,590500,895500,547500,519000,734000,2885734,4411626,2172217,6213610,1912595,4059050,1624381153
53,1458500,822500,810500,878000,896500,1221000,581000,671000,608500,721000,504000,906000,3065058,5459233,1888071,5247362,1732670,6470419,4190390431
54,1018500,564500,972500,901500,743000,650000,889000,982000,487000,338000,731000,652500,2648544,5007753,2057282,3885295,2642225,4653138,2999062046
55,9000,13900,11800,9900,15100,12700,15800,11000,11600,10100,8200,11500,32426,86151,41946,68046,39741,64161,41830563
56,9800,24600,9300,9800,8400,7000,9900,18900,8800,8200,7100,6800,23220,75715,27698,75846,31275,75599,55156895
57,5300,8300,12300,5500,5400,16500,10900,6600,9100,5700,8800,14600,25830,71291,33965,62608,23601,59646,61140301
58,12900,17000,10200,8700,7600,10200,4200,7800,9600,14200,6500,5400,24498,54859,25062,67638,31889,47777,40247949
59,8800,12500,13900,7400,8100,4800,10200,5900,6900,12200,2600,7300,26114,49638,31688,50482,25125,63993,42807566
60,180000,232000,304000,114000,278000,253000,119000,317000,197000,226000,112000,187000,593449,1133561,787274,1654265,671880,1201090,1207685136
61,213000,228000,274000,255000,191000,321000,331000,243000,169000,294000,292000,103000,937353,1309962,787783,1763370,591164,1768500,-79126218
62,459000,124000,398000,314000,156000,574000,241000,308000,146000,346000,56000,130000,928300,2157741,854627,1576999,814093,1929829,558786697
63,115000,170000,131000,303000,154000,476000,242000,140000,303000,560000,152000,324000,637940,1677102,556255,1855975,645984,1546747,1652712096
64,84000,176000,133000,111000,374000,154000,206000,217000,212000,215000,372000,170000,656255,1518495,439008,1397492,545686,1431422,1420350037
65,2789000,3711000,3455000,4569000,3682000,1980000,2531000,1709000,3362000,4490000,2185000,2673000,7548442,17047880,10502614,16348383,11285554,18149669,18461597740
66,3535000,3466000,2425000,4201000,2171000,479000,3435000,3023000,1943000,2626000,2708000,4427000,5818822,20935316,5863574,19598370,6411174,20519743,11871110320
67,3051000,3755000,4287000,3205000,2687000,3456000,3104000,3298000,3909000,3729000,2566000,3316000,8042873,24079161,12721139,20407611,12940829,17675552,15446954997
68,4311000,3642000,4539000,4104000,2765000,5395000,3626000,3570000,4638000,3560000,4481000,2716000,11550180,25131850,10260239,28497515,14006004,23084682,15000498724
69,3767000,5728000,5445000,2042000,4917000,4454000,5168000,3665000,4082000,4158000,5123000,2817000,8678715,26282883,9770954,34018887,12249698,22990080,18041055042
70,8550,10800,6230,6320,6050,9120,3360,13710,7660,8070,6610,8090,19790,62731,28371,43122,29037,51857,49799819
71,7970,2850,8150,6240,4480,3840,6890,4490,5930,5680,3470,15820,21294,35079,24032,50397,20975,37493,42862433
72,3100,3800,8740,4240,5440,4060,4630,7050,7970,6040,2220,6180,21148,35177,20368,31615,11245,28128,31391465
73,4160,10740,11140,17670,6110,8820,4970,11750,8280,13040,7320,12070,36501,65894,29181,66780,29128,50857,59738330
74,7050,7200,12560,8760,11950,13780,9780,4280,7350,4530,8290,5180,25452,51240,27877,42133,22822,51390,32096288
75,866,287,1130,969,1304,1533,284,94,319,287,202,414,2004,3431,2089,5115,1836,4619,3389280
76,55,228,519,1039,251,445,303,171,313,450,1002,275,1464,2689,949,2444,1004,3230,2874970
77,652,702,770,265,452,676,486,1735,199,368,225,361,1221,4135,1961,3060,1544,3519,3707180
78,307,756,369,1081,602,626,195,654,304,434,754,345,1749,2787,1772,3034,1289,3142,3847380
79,296,659,189,337,256,704,675,332,201,304,685,561,869,2297,1646,2444,1642,2868,1831073
80,1650,288,299,147,340,335,361,690,341,336,256,295,995,2333,1670,2243,1542,2911,2023306
