,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,s_DC1,S_DC1,s_DC2,S_DC2,s_r1,S_r1,profit
234,1092,830,2087,361,219,865,1345,455,1257,842,588,1934,2913,5963,1985,7647,2030,5503,5267164
235,145,395,639,300,202,290,235,499,734,372,124,655,1232,2613,1046,2251,1159,2509,3003018
236,473,1047,643,477,483,98,531,293,692,406,325,481,1827,3118,1830,2906,1758,3569,2118619
237,240,810,309,803,319,748,547,702,301,561,647,876,1667,3147,2079,3304,2234,3773,3352734
238,1069,795,623,698,810,197,227,885,599,542,405,1057,2493,4884,1950,4007,1718,5214,3590567
239,188,809,620,352,252,466,653,194,1062,495,453,418,1809,2552,1351,3382,1421,3067,3372256
240,882,1512,2337,1431,1866,1469,1743,2134,1476,2419,1147,1467,4608,8489,4147,12728,5281,9023,10149286
241,1072,2615,1692,1749,1595,1546,1415,1282,1173,1638,1475,1879,6372,11106,4549,10671,4500,10081,6458367
242,925,1487,1822,2079,1311,1529,1327,1399,1152,1901,1593,708,5293,11373,5169,7466,5267,9969,7057938
243,1235,2903,1561,2399,1967,2379,1574,1122,1459,1149,2585,2022,5501,9971,5338,11855,5714,14163,11717644
244,1112,982,836,790,1592,1675,789,410,2449,1144,850,1695,3047,6356,3825,6176,4362,7089,8191695
245,366,365,511,355,375,586,563,920,1246,660,407,448,2130,4058,1503,3466,1504,3082,4189230
246,647,544,933,165,534,262,613,376,740,661,406,898,2017,3502,1616,3788,1466,3835,2130403
247,513,665,397,735,378,630,488,1182,661,450,624,469,2073,4345,1247,3010,2264,3753,4472917
248,915,820,910,909,635,627,565,812,644,960,1015,1163,2266,4822,3025,6115,2334,5875,2831797
249,351,834,1461,138,359,459,669,363,989,823,410,874,1514,3587,2469,3328,1295,3554,3390678
250,2200,1325,3575,1975,1750,4450,1000,1575,1900,2675,900,2125,7389,14737,7238,12463,7751,15743,12247864
251,1600,3025,2375,3925,4900,2550,3125,2050,1825,3150,2800,3075,6410,21689,8518,22144,5912,14401,21335873
252,2025,3175,4250,2500,2250,4100,2400,2275,4950,1875,2850,2750,6890,22966,11057,22900,7824,16561,22397537
253,3850,4350,4825,2400,3225,3025,3750,3675,2600,3400,3275,1700,6942,25657,10786,16846,6964,20258,5025286
254,3500,2200,2800,4100,2875,5175,3025,3000,3475,1900,2175,4425,10060,19865,11259,23923,8660,19752,21351943
255,336,352,319,378,449,557,243,239,404,300,292,289,731,2700,1123,2169,711,2562,2200652
256,323,474,361,561,224,378,293,325,371,552,239,389,1314,2577,1209,2309,1263,2308,2079382
257,496,277,444,796,247,542,391,299,465,538,356,602,928,3549,1118,3559,1100,2964,2662754
258,943,425,306,676,401,478,567,491,636,1229,629,716,1626,4336,1879,4438,1693,4487,4095789
259,765,351,913,799,828,941,457,461,670,698,713,600,2353,4483,2000,3545,2358,5151,2903869
260,449,323,435,409,372,572,560,654,382,375,554,325,1141,2373,1503,3108,965,3170,2030274
261,375,921,401,601,414,788,582,437,435,613,377,627,1548,3049,2095,3241,1756,4154,2801787
262,576,693,752,761,439,770,446,438,308,512,406,422,1540,3238,1352,3026,1394,3699,802125
263,856,481,637,732,818,834,649,511,687,921,528,514,2706,5217,2564,4998,1770,4350,2420914
264,600,771,651,843,572,738,616,546,705,660,535,576,2458,3825,1811,4422,2552,4263,4142567
265,202,180,56,51,218,310,79,147,40,158,297,40,530,1171,472,1146,317,1133,788446
266,109,151,637,126,127,265,233,182,528,155,234,145,912,1477,561,1628,895,1836,1265384
267,266,128,226,366,250,117,39,208,216,204,257,330,507,1504,657,1145,710,1282,970372
268,232,306,143,335,193,571,160,60,132,88,113,389,871,1217,904,1544,576,1642,1390671
269,287,47,132,92,48,113,77,103,192,265,108,205,348,1001,545,1057,410,956,913454
270,3150,2650,3550,3425,2700,3350,3325,3075,1850,2650,1975,3475,9888,20103,6892,19256,8873,21856,15566380
271,2925,3600,4750,5600,7000,3625,2975,3125,3000,3725,3525,5050,11608,28144,14438,21451,15120,31367,26144629
272,3075,8675,4050,6100,4800,5375,4075,4975,5200,3125,4000,3000,18509,32208,10519,25002,18676,33318,19891258
273,4575,5675,3875,4575,6675,4375,4175,2300,5525,4900,4150,2975,11995,23644,11893,29128,15113,27204,29205036
274,4775,4250,4875,5600,5850,5600,4550,4725,5450,3000,4500,6350,10310,26621,12331,30071,11107,37553,20377583
275,822,914,641,605,960,923,1276,641,955,755,871,534,2652,4931,1779,5452,2240,4911,760609
276,923,899,725,944,488,821,663,631,990,601,748,952,1674,5142,2339,4530,2805,4811,4428351
277,1133,1040,949,1126,763,939,679,677,1044,996,1373,775,2761,6727,3051,7654,3250,6130,5666876
278,1205,810,943,911,936,2006,836,1674,2373,1476,634,1090,2808,7499,2852,8603,4434,7771,8481403
279,926,993,1159,899,728,1272,996,624,876,981,827,709,1854,6060,2142,5552,3531,6278,4191914
280,61,77,50,77,52,87,82,59,35,44,38,53,199,464,125,376,191,477,390047
281,110,55,86,65,58,97,72,112,60,58,80,101,275,456,256,565,284,546,513804
282,94,134,130,101,110,93,38,37,65,144,109,120,327,725,233,771,377,689,456770
283,95,113,76,175,130,113,82,188,148,89,110,133,317,692,318,901,465,894,769516
284,143,94,53,93,64,85,29,36,66,87,54,163,162,536,294,531,321,580,561872
285,266,490,279,461,170,311,328,314,390,154,290,287,690,1792,781,2318,1021,1578,1084985
286,101,251,423,372,133,205,256,377,326,238,185,389,605,2013,971,1459,967,1673,1692801
287,366,255,230,315,237,179,269,693,540,472,359,224,815,2718,1237,2197,921,1978,2378355
288,544,368,370,325,263,276,398,150,341,469,254,389,1003,2648,1376,2541,1081,2764,2035581
289,312,286,478,611,235,297,493,200,325,330,207,366,1159,1942,1096,2680,1344,1935,1852707
290,105,120,133,92,108,123,70,70,106,96,112,72,207,786,382,530,398,773,428269
291,134,329,124,96,113,60,75,86,131,104,122,208,328,1018,494,810,435,894,781494
292,181,176,99,118,111,107,128,69,107,95,112,106,431,613,384,912,454,731,810314
293,144,159,162,209,218,214,166,110,159,120,128,138,467,1074,322,969,538,881,852712
294,224,184,165,194,128,178,209,85,190,155,126,165,449,1139,374,1109,541,1251,858374
295,155,138,246,483,223,288,158,192,151,121,131,115,683,1215,546,1294,495,1438,1269130
296,201,107,193,250,191,247,176,215,192,237,206,186,420,1293,441,1151,757,1568,1287088
297,109,223,254,106,150,299,93,231,92,669,158,234,449,1260,787,1676,563,1290,1471864
298,216,126,152,126,201,194,388,226,165,211,121,122,581,1065,445,1076,743,957,1008559
299,97,144,67,115,45,189,111,178,139,220,85,30,400,812,385,823,345,870,592713
300,202,248,316,318,124,265,144,149,166,230,147,153,540,1266,599,1408,718,1568,717002
301,59,227,481,326,230,259,53,158,199,246,297,189,619,1593,802,1539,700,1639,1663475
302,262,218,388,359,290,286,338,320,321,169,273,370,874,1588,1018,1891,827,2229,603031
303,100,312,187,333,120,238,114,325,285,249,297,168,516,1635,555,1331,728,1587,1453889
304,130,216,78,78,82,203,133,177,157,77,137,24,425,648,318,721,319,798,341454
305,71,52,60,48,71,52,41,72,97,47,74,92,236,392,243,498,200,431,476137
306,53,64,91,79,49,41,87,100,43,57,80,84,189,429,151,536,177,434,465102
307,60,48,68,53,274,118,126,107,46,69,51,43,338,636,341,627,190,623,662286
308,110,55,73,86,93,83,63,103,64,58,134,50,307,595,273,632,259,425,581424
309,35,23,18,37,24,45,35,23,60,122,27,32,108,233,141,262,96,238,313652
310,433,1212,1216,1275,1072,2148,1787,1140,4660,1144,1003,1910,5147,9399,5590,10987,3195,11186,10041750
311,2300,3354,858,2061,1196,1251,1455,1704,835,1733,1829,1080,5701,9524,6331,8490,3580,10801,7500602
312,1501,2317,1541,1477,2067,2795,2867,975,340,2968,527,1364,4782,9149,6908,11521,5936,11263,10978107
313,2095,1474,1283,2538,1542,2615,1376,1737,1483,3162,324,1590,3775,12713,6994,9999,6566,11011,10660687
314,1758,2376,1394,1501,1652,2313,1827,1664,2513,367,1752,1112,3737,12433,5888,11809,5089,11991,7298313
315,3631,1904,4394,2625,1834,6379,5065,1774,3670,1767,2474,3223,9106,24094,12081,25807,9208,25748,13044242
316,3541,4705,2680,1641,3549,4985,2169,2380,3918,3183,3507,3871,13346,26111,11370,20728,7102,20615,16918506
317,6159,3723,3139,5648,3726,6216,3786,3200,1831,2950,4971,1389,10180,24788,13684,20651,15506,24199,20197399
318,2115,2759,5020,960,6525,2489,5822,1777,4638,4933,1035,4595,7621,20874,9172,19949,9019,22470,17609908
319,5247,4526,3316,2807,3600,5934,3776,6260,1777,1588,3735,2253,13936,21473,8483,28567,14863,28011,18518107
320,141,360,79,142,211,264,424,203,159,113,316,155,740,1643,464,1215,515,1528,1160483
321,244,182,443,186,247,173,324,218,117,173,298,361,574,1782,721,1542,977,1663,1359788
322,278,176,377,297,527,416,449,97,206,80,163,424,616,2011,853,2225,587,1548,1803547
323,394,344,337,159,182,444,392,199,350,407,155,248,1093,2334,1001,2049,904,1950,876331
324,177,170,231,218,390,229,228,228,159,109,254,92,462,1463,670,1495,461,1102,1398821
325,2110,11080,34830,1680,27680,10720,8750,34870,7340,16170,15820,20400,62755,102456,61739,118367,38829,120319,118953474
326,8060,18940,6840,26690,38750,6970,24610,10730,22710,5130,29440,13600,64347,108098,57631,133394,70329,110549,89562104
327,9730,18620,17150,8490,4060,24660,10510,6270,19350,8240,8330,20870,43458,90719,45341,103688,48253,95000,83535608
328,17480,9630,51020,12530,17430,4850,22130,14850,23480,11840,14570,23470,69631,93842,73233,138745,60484,125701,95564676
329,25020,8720,90050,32610,78980,40110,35760,33280,3320,35580,49340,45670,146090,315135,127395,290419,105656,204135,260870740
330,195,70,160,125,155,170,65,140,200,180,90,105,292,917,378,1048,365,727,676822
331,95,135,160,185,220,245,285,125,145,205,110,55,622,1036,346,1268,593,1209,1113513
332,150,305,230,365,725,165,225,250,230,230,215,180,857,1701,709,1513,731,1926,1515134
333,275,265,770,315,310,365,320,275,140,310,405,340,797,2204,775,1741,1003,2321,2483015
334,510,245,290,1235,430,410,230,285,285,390,330,170,1453,2142,850,2197,1196,2776,2513957
335,205,170,180,235,115,145,45,90,190,105,230,275,529,1212,448,944,342,1287,1096062
336,135,240,215,680,150,175,235,125,150,140,175,110,803,1546,821,1313,813,1321,1310434
337,290,205,530,520,710,520,250,320,310,300,395,510,1431,2438,1206,2099,1524,2477,2385109
338,335,320,225,270,535,305,255,235,325,175,250,390,747,1940,1055,1683,781,1940,2009977
339,300,360,380,770,245,440,240,210,335,360,160,275,887,2465,892,2249,1115,2084,2026040
340,3750,3000,3400,4400,3450,2700,2500,800,1000,650,1900,1700,9319,13451,9132,17501,5893,16684,4563999
341,8200,2050,1950,1000,7200,5000,4550,3700,3300,3000,2650,4450,9239,21116,12355,28217,12071,26253,25295684
342,600,350,700,750,1150,1450,600,300,1000,1250,2000,850,2882,6414,1949,7094,2645,6418,5990077
343,800,1350,550,1200,1250,2250,1550,500,2500,1100,350,800,4470,6546,2581,8438,4156,6355,8127748
344,2300,3800,3800,8750,7350,6850,5450,3350,5600,13750,4600,4350,18931,31966,19707,33819,18197,31117,41803326
345,6800,6550,8000,5650,5100,13550,10650,3900,6750,11500,4700,3600,16988,54292,21283,38181,22629,42589,17321166
346,10600,5050,1250,1300,5950,5000,8000,7350,6550,11900,5500,5050,22877,36309,23215,43852,21525,45655,36390624
347,1800,7650,5250,6150,2750,4650,3950,2950,9150,6550,1700,5950,11965,38835,18402,25738,19237,29152,32187691
348,3250,7250,12400,1850,3100,2500,3450,6100,600,6750,5400,2000,16559,31824,10307,24957,15963,33536,20483204
349,317500,490000,275000,315000,422500,450000,405000,422500,465000,380000,530000,292500,1471411,2978224,1036443,2906148,1391128,2094119,2154538846
350,502500,560000,237500,355000,530000,345000,472500,267500,457500,437500,300000,320000,1230089,2046957,846445,2084801,1090489,2895027,1629498060
351,435000,312500,595000,580000,375000,702500,302500,427500,527500,410000,530000,417500,1301753,3100486,1381652,2378382,1401118,3692346,3439202447
352,310000,442500,177500,357500,437500,1565000,217500,157500,505000,212500,192500,192500,1032262,2185596,1110757,2320299,1299816,2893583,2576840884
353,185000,285000,245000,132500,240000,197500,85000,305000,277500,270000,100000,165000,674194,1283078,630198,1422225,495590,1560604,884678356
354,6000,6900,5300,5500,6200,11400,5100,8000,6800,7900,8100,5700,16644,55043,16481,40889,25974,45286,41715739
355,6700,8900,6300,7500,8900,9100,5400,21300,4000,18000,6200,5000,29611,56482,19821,49422,27331,63186,60837272
356,4400,6900,6000,4300,12000,7300,10300,5800,15700,5800,3900,7900,21968,37790,15337,51052,25408,39486,53011313
357,19900,16300,4300,4200,3900,13300,8100,4200,6900,6100,4600,5600,30419,51997,25709,52839,31311,63719,50341522
358,10400,8100,9000,4900,8700,9700,9900,10500,10200,6400,4900,6600,20604,48136,23036,45962,23867,43760,33147814
359,31900,16300,13500,36100,27100,13200,23300,30300,22500,6700,29500,19100,52316,135089,61594,173374,83548,160578,107711811
360,7100,10800,17200,12200,17500,13000,13100,19800,18300,19800,23900,32100,65847,99617,57139,122678,66726,118695,115579200
361,35200,22500,14400,29900,13800,15300,11500,18000,26900,17500,11400,31700,53081,138843,66050,147287,54354,122061,109582268
362,43400,31000,47100,21300,11800,17400,26700,28900,11900,14800,9800,33900,53936,147787,85557,166192,66379,167135,92730391
363,10700,40800,32300,17000,58900,36600,40300,27100,34600,25900,14200,17300,84698,218652,80977,208532,110306,160785,201440612
364,53000,59000,76000,22000,33000,52000,109000,35000,112000,28000,63000,39000,205286,385544,149194,324418,161012,440509,415413148
365,51000,85000,37000,42000,42000,47000,46000,46000,44000,44000,41000,41000,166184,298437,126171,240101,186474,333636,214805438
366,46000,76000,66000,110000,43000,45000,104000,108000,60000,83000,61000,74000,152111,506355,235713,453273,242628,523057,394844314
367,61000,88000,34000,47000,61000,79000,62000,34000,70000,73000,48000,49000,220093,398414,187971,379007,159607,373039,401013520
368,67000,82000,54000,71000,56000,66000,58000,51000,140000,75000,34000,92000,238818,520542,151347,478595,231323,560204,436131638
369,21200,16700,18500,12500,6500,48900,10100,11800,32600,29000,10900,10700,48140,112193,42489,127184,41291,103586,112497387
370,15600,24900,18000,8500,4900,33300,27000,15300,12000,13300,25600,12900,56093,140661,41119,90942,59784,139397,67556887
371,29300,15100,27800,21000,8500,32600,32700,14400,32200,9800,8900,16300,56566,119612,82039,149984,47245,120094,66830578
372,12600,7700,14300,12700,18800,19800,30500,14500,11000,20500,18200,15100,55077,92004,47354,98678,60398,110459,90233568
373,10800,21800,9200,8000,11900,13700,10500,3400,11500,18500,8300,17800,26214,93436,29796,65037,26508,91114,67702787
374,84100,110700,72300,93100,130400,77600,78200,78900,112900,96100,82900,92000,354858,576282,293857,681766,239440,483591,450966642
375,48400,121800,161000,91000,182400,103500,85000,150600,99300,147100,180500,183700,485559,1013272,389550,699357,497823,738738,634831253
376,147800,280500,168500,116300,126700,164300,129800,125600,94200,133100,148100,270200,517373,958481,621205,853232,331950,1195220,980908795
377,176200,108700,152600,103300,138300,161200,157800,122600,140400,106300,117200,105400,307724,687267,274800,925723,371903,1011998,823163316
378,118200,66400,132600,70300,65100,80400,144600,147500,69700,121900,79800,77400,304697,540521,329928,652030,240800,775929,536235323
379,30700,328500,46300,68100,24300,48200,91700,100200,215000,288700,31800,190500,476434,670622,273055,767835,478096,970459,951409070
380,246900,215600,129400,146400,194400,63900,306500,139900,147500,236000,179200,42700,511824,1256201,432002,1021744,644726,1132815,1039716941
381,12200,95000,667300,139300,137600,48000,57500,79800,67500,74000,59500,180900,406629,746870,321683,1048019,464158,806188,998266433
382,25800,99200,77200,218300,84400,150700,52100,23500,43600,34900,25300,73400,248100,559863,174657,427633,154747,576123,513212267
383,59700,54000,10200,42800,36100,42800,21800,38200,45500,54000,47600,36900,134512,317112,114138,264225,96295,277829,147950670
384,39850,19150,26050,87500,41150,61550,34750,50800,45700,62700,43150,53300,148773,276007,99320,362267,156762,340228,336461411
385,22650,109500,100000,75900,73350,38900,36900,92000,65700,65150,48950,233250,275808,491710,251214,439200,208297,461275,479267670
386,61400,105450,102800,53900,279800,107600,60300,81600,51250,54650,67700,75000,287547,714697,203705,546758,216645,656733,412753382
387,88700,59100,81600,56700,75050,83200,66150,76200,74200,21600,31900,55050,131661,434192,243993,448511,148131,439094,90804398
388,45350,52400,45950,46950,52500,36650,52600,134750,60650,42250,67000,16650,126467,363295,133683,416865,186325,329873,339167282
389,13300,9950,4850,8600,17150,32650,10250,18050,11200,21600,8750,17700,47244,80112,49583,80508,40631,110732,88899238
390,7650,31500,36050,11450,22500,16000,29050,21950,26200,44000,98400,74500,113721,237823,89449,241467,108526,262208,249556157
391,9350,39350,44350,50700,43000,14200,41250,29150,19900,43600,74200,60400,85459,264841,133890,262352,90896,253067,215868434
392,61450,59050,86250,145700,78100,63550,49900,40300,38050,31450,24400,55600,139832,348478,179790,436409,163048,402587,274634140
393,36150,48600,37700,26950,246100,483400,63700,386550,47350,39700,61900,44750,454956,634642,345649,916050,396779,976292,910283124
394,74800,36000,66300,88500,53200,57200,40000,126900,66700,48000,75200,76500,204991,453107,211774,459127,199064,423120,487322429
395,56400,90400,46200,81200,225600,87100,60900,76400,80100,48400,39500,64900,309360,523303,223805,452651,196870,414098,594902331
396,44700,73100,35600,54600,54300,70600,65600,64400,82300,62300,47500,94600,222673,366099,125822,359110,206054,357645,315226734
397,42000,66400,72600,36900,54400,40500,123100,58000,37100,34800,113000,47700,228390,360175,168270,418475,239651,418358,453889565
398,39100,40900,30600,57600,41500,51700,31800,30100,52600,35100,39300,27700,118304,231583,106176,273959,120337,250836,219585799
399,67500,63000,73100,108700,68300,55400,12500,141500,237800,112500,75100,71300,280503,516566,317449,473528,357353,562770,630570048
400,146300,74600,30400,27700,93500,13400,60900,25800,67600,47100,122900,71300,206375,419649,195022,388823,216948,384584,312957814
401,50600,28400,132700,22900,36000,61100,78600,30000,58600,93900,31200,18500,162801,291234,149291,398969,180360,269316,377127396
402,167900,326800,143700,255700,97500,206700,275300,126900,175600,220200,61900,59600,513433,1078711,548881,1050036,500068,1209808,1065450246
403,15600,67200,40900,41800,37800,63200,136000,99100,99100,109300,71300,23800,174581,359281,169736,349842,230061,422807,480444541
404,1334200,1388700,1090100,960000,1198700,1636100,1555600,812700,1084500,618800,1600900,588200,2601845,7918990,4191996,6467177,3604364,8032816,5516799606
405,1651100,1562400,1512800,1207900,1999100,1115600,1611500,1552200,1268600,624100,1374800,892900,3579440,10190524,4440325,8068259,5166390,7392793,7288784747
406,1853400,2014100,942200,605800,1362200,1831700,1402100,1172600,1437600,814200,1885200,612000,4654814,10341372,5034309,8841760,4687985,9911567,3910300338
407,1039500,751700,546200,993700,1225800,3274700,1818500,671000,763000,674100,950100,1967400,4582876,7508155,3950713,7895466,4447608,9136030,8400374870
408,1108700,1063900,385500,1021000,819800,1664600,1741500,174900,1482500,1143700,852600,1470700,2302490,8126792,3470500,5846194,4158903,7623305,6515269154
409,12550,12200,11000,6950,11750,12700,19250,12750,5900,15150,11500,8600,45860,72105,24669,90208,29586,80164,59743737
410,12350,9550,18400,11650,11400,12050,11400,9150,12250,12300,9300,9550,34573,67886,34961,60162,36867,69178,72154161
411,14250,33350,12850,9950,13150,18250,10350,8550,11400,9200,32650,11550,55547,104544,52846,79505,35964,98007,112789202
412,14750,24300,11550,10100,50200,21200,12850,7450,21500,17300,8500,8550,40733,107750,59423,109495,57813,87771,66355504
413,10300,17200,12600,11500,13900,41350,11750,8650,15000,8050,9400,9200,55097,91645,28902,84982,32466,111161,103900814
414,83200,104300,99400,49500,111000,67400,122200,104400,62300,122500,40200,107100,184985,689202,228292,586185,301235,701443,432593753
415,117300,131200,91500,150600,109800,124300,111600,99900,88100,122200,105600,101300,366647,794251,288612,721308,285822,875796,227252299
416,147800,114900,80100,88400,119700,95100,137200,64600,97600,72600,117300,100900,228958,719390,389116,675214,394915,588078,506611154
417,109900,183100,53200,124200,83900,164000,126800,118200,63200,168200,94200,69200,288300,790882,437775,870220,305313,683503,587013820
418,64400,142800,108200,90200,131000,159800,115400,130700,95900,59100,106100,120900,232673,817424,302920,872916,340647,563507,458285142
419,324,364,168,176,836,261,711,504,431,352,279,649,1137,3045,1302,2910,1142,2306,2670902
420,894,413,392,483,241,618,771,353,645,217,673,291,1027,2955,1663,2877,1142,3453,2279218
421,470,449,694,205,742,887,266,635,204,404,450,455,1763,2488,1461,3167,1942,2988,3338481
422,566,352,574,369,470,997,321,601,289,188,545,277,1159,3633,1423,3040,1803,2397,2233135
423,55,513,481,106,650,876,647,83,487,175,116,563,1254,2051,1378,3128,826,2722,2068137
424,38300,18800,75000,28700,67500,92200,65000,77700,98100,35800,52600,14100,117448,280298,167751,351670,135237,417585,416603786
425,28200,25300,67500,71600,26300,47000,45700,56200,42100,50600,59700,103100,109162,301522,153944,370763,124032,382038,345677263
426,94000,68800,144800,72700,60000,64400,83400,143400,21100,55700,83400,48300,261231,543282,274583,444234,246404,592632,347968949
427,40500,3600,103400,102900,119400,50700,94300,75000,146000,78300,58400,55800,256863,434514,203267,504767,293067,520791,556181226
428,5400,85300,87100,83600,104400,4700,104200,55000,54100,62300,25600,82300,191768,436523,140589,370721,162693,357067,101402243
429,134000,195000,170000,192000,159000,175000,137000,106000,207000,85000,173000,194000,407480,936416,367487,1044796,491667,1212856,785965415
430,206000,164000,110000,103000,122000,131000,190000,146000,99000,102000,133000,162000,479895,894777,485912,942791,309351,972452,717324948
431,168000,263000,202000,146000,124000,170000,253000,213000,155000,169000,74000,116000,475133,1251300,608979,1129531,553734,921000,993037124
432,232000,150000,105000,206000,222000,188000,94000,115000,139000,136000,93000,175000,446381,994144,541292,1138869,396744,1226212,583589408
433,123000,126000,102000,155000,114000,159000,112000,153000,110000,90000,133000,117000,281571,899116,264418,677092,376938,910125,836614080
434,115000,100000,76000,110000,146000,95000,35000,99000,73000,113000,142000,52000,344451,539950,364549,536203,240777,584070,402115463
435,99000,198000,194000,277000,71000,125000,336000,316000,382000,325000,232000,82000,647533,1105855,509724,1180634,615088,1325653,1430792547
436,102000,83000,482000,98000,178000,130000,353000,269000,108000,344000,386000,94000,603252,1308144,730986,1538792,726954,1658634,1316929280
437,372000,277000,65000,305000,330000,131000,108000,97000,64000,251000,180000,218000,411273,1191320,673279,1377545,568530,1546802,983842296
438,24000,141000,220000,118000,80000,110000,153000,44000,90000,72000,125000,145000,400006,672369,312191,799350,284458,627009,743616088
439,45300,34800,45900,28700,50100,42700,39200,79200,39900,47100,36500,40200,119548,248119,152619,296759,123376,342024,288070443
440,39500,60700,38800,64200,58900,36900,31500,40500,32900,42800,31200,44000,87411,295816,106222,258104,122133,236834,146898665
441,46000,43500,22600,27200,46200,53000,47200,55100,70000,33400,24800,54100,90823,266284,106478,263597,147846,313754,252165834
442,36000,40900,42400,35500,58000,56700,30500,32400,70100,27500,43800,22800,151625,261291,85937,310764,162946,238985,127007226
443,20000,29000,42500,43500,46800,21200,34700,31300,30000,44000,31500,33100,85787,236222,97126,250533,96085,249036,197517401
444,232000,285000,208000,153000,304000,131000,113000,183000,192000,211000,303000,155000,691895,1227765,505725,1429990,505367,1607312,1015425425
445,195000,330000,156000,251000,122000,155000,191000,164000,92000,256000,199000,157000,543279,1279524,419131,1417565,752639,1024072,1103295655
446,118000,193000,165000,125000,197000,407000,307000,160000,208000,154000,103000,144000,557982,1499819,429189,952493,622414,1280500,1317127252
447,311000,180000,250000,135000,180000,283000,233000,182000,317000,223000,297000,167000,580108,1345846,916382,1292139,704035,1425891,1164963869
448,176000,128000,332000,103000,130000,113000,185000,149000,196000,205000,118000,250000,526000,1376903,471734,932157,661681,1381465,1069964776
449,126400,60200,154600,117700,105000,168700,118200,43100,94200,86800,86100,99200,377312,794995,303487,709539,361260,710649,229198819
450,85000,133900,98800,70200,129200,114200,119900,89900,64300,98200,93100,89300,306573,692113,387516,607136,199755,531995,279654576
451,66500,180400,80400,51600,196800,176100,39800,61000,73400,110300,69400,73400,205850,622466,234319,572690,354733,548527,743268978
452,145800,73200,69600,115100,114100,135000,48100,123600,101800,98300,131400,68600,248208,587524,223926,536898,256690,639106,536137589
453,59700,136700,78700,100000,99300,144500,45500,71000,100900,45400,77900,55600,313871,607635,285548,631845,256367,535512,354183976
454,79000,85000,44000,55000,123000,136000,117000,118000,172000,74000,78000,70000,295539,619408,374474,684688,341063,659016,538989106
455,81000,117000,113000,100000,68000,71000,93000,93000,83000,74000,74000,62000,209460,620688,266936,477701,217408,579267,215746703
456,120000,68000,104000,100000,104000,67000,84000,116000,57000,66000,124000,99000,317755,700547,224344,585419,291882,583677,433200952
457,105000,93000,103000,68000,78000,84000,69000,91000,71000,97000,40000,58000,258050,535237,283246,587299,205455,560200,18315716
458,56000,154000,84000,62000,115000,129000,68000,62000,98000,61000,114000,109000,301132,501940,300742,721772,327303,564331,446719984
459,32300,64500,24900,24800,20100,30200,24100,20900,27300,16100,37400,27300,78911,146633,96420,230858,72235,196594,92952874
460,29400,40000,22300,27700,24300,11200,23900,25400,33500,39100,15200,36700,81357,212938,71121,164565,96711,179363,128286642
461,25300,26500,57100,32400,29900,23700,29800,37800,47700,31100,31500,26100,93508,231197,68086,253690,118989,245786,210658266
462,16500,65100,31100,20000,15900,28200,22600,33600,33500,58700,22900,41800,82636,258705,76903,229565,105281,188967,248266337
463,29800,41400,33500,27100,46000,52200,43400,82900,56200,24700,50500,27100,110453,295106,145973,266448,143468,341250,283425199
464,1145000,1822000,1611000,1156000,1795000,1904000,2212000,2175000,2278000,2440000,2554000,1558000,6332520,10037706,4839388,11851193,5150328,10791960,6279987358
465,2309000,2058000,2973000,2394000,1978000,1315000,1799000,2317000,1718000,3488000,1630000,1739000,6436749,10902367,5682220,13813110,8419096,16303867,10288475566
466,1796000,1869000,2266000,1835000,1383000,3851000,1390000,2022000,2192000,2289000,1546000,1473000,4579452,12597911,4454982,14010835,7189166,15243246,10719250570
467,1847000,1807000,1387000,2220000,1455000,2251000,2362000,1908000,2410000,3135000,1737000,2116000,5142227,14277008,7186574,10442601,4528012,10595873,11442294389
468,1483000,1324000,1196000,1567000,1446000,1553000,1662000,2705000,1905000,3560000,1561000,802000,6109339,9139351,3585100,10644849,5075385,11992250,11942421488
469,18000,101000,122000,54000,167000,65000,22000,373000,606000,30000,27000,104000,354195,1041850,398480,941190,321413,752475,612915615
470,17000,135000,158000,129000,79000,237000,242000,96000,108000,136000,30000,413000,335416,1156109,331257,1176709,568208,972154,968853123
471,450000,163000,175000,182000,249000,763000,170000,425000,375000,345000,41000,63000,1090470,2068405,700109,2204404,930947,2192732,1727064912
472,133000,71000,86000,280000,70000,294000,143000,476000,302000,155000,663000,93000,885187,1727387,651450,1627083,857945,1664992,1668213499
473,50000,766000,1002000,324000,52000,105000,107000,121000,148000,229000,73000,830000,961281,1950678,933756,2053656,1210486,2164273,1249484416
474,169000,83000,83000,128000,198000,104000,229000,234000,310000,485000,115000,129000,464050,1090614,566261,1026834,465233,1495471,1333354936
475,51000,92000,180000,103000,77000,116000,108000,199000,126000,142000,175000,117000,273282,827140,482656,783426,411672,905655,754176042
476,158000,186000,176000,84000,168000,132000,149000,147000,153000,312000,129000,146000,548886,1241725,540497,1136533,428696,855918,1184297114
477,149000,186000,294000,179000,238000,264000,186000,197000,347000,218000,177000,78000,514921,1644308,803789,1066389,670067,1151222,1267966682
478,110000,109000,128000,159000,169000,94000,88000,68000,132000,183000,118000,116000,423734,699301,462499,953289,246661,785853,526748910
479,3772000,4579000,6232000,2818000,6477000,4533000,2557000,3870000,5715000,6775000,3442000,2489000,16686072,31532228,12347884,23784397,17097025,28081311,17934941393
