,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0
0,12685.0,9901.0,5353.0,9697.0,10372.0,10838.0,11639.0,11385.0,10523.0,10991.0
1,9793.0,10567.0,6287.0,9094.0,10543.0,10925.0,11322.0,11246.0,10685.0,12222.0
2,11264.0,9506.0,7601.0,11486.0,12901.0,13051.0,10735.0,13861.0,14159.0,13875.0
3,8854.0,11704.0,7504.0,10677.0,11330.0,10876.0,13988.0,12115.0,12782.0,14116.0
4,12007.0,10217.0,7421.0,9896.0,13005.0,12612.0,12012.0,12337.0,12036.0,12864.0
5,11083.0,9670.0,7581.0,11119.0,10354.0,11053.0,10948.0,11441.0,14207.0,13681.0
6,12062.0,9605.0,9394.0,11507.0,11189.0,11920.0,11312.0,11690.0,12394.0,11040.0
7,10786.0,7833.0,7967.0,10414.0,11464.0,11790.0,11660.0,11444.0,12604.0,13232.0
8,9340.0,8453.0,9530.0,11137.0,11737.0,11134.0,12168.0,11585.0,12421.0,13854.0
9,11646.0,8390.0,10187.0,10683.0,11543.0,12413.0,12893.0,12963.0,13197.0,11932.0
10,10453.0,6952.0,9600.0,11908.0,12357.0,11986.0,12079.0,11486.0,12600.0,13194.0
11,9222.0,7819.0,10250.0,10136.0,11550.0,9369.0,11395.0,12649.0,13078.0,13602.0
