,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,s_DC1_1,s_DC1_2,s_DC1_3,s_DC1_4,s_DC1_5,s_DC1_6,s_DC1_7,s_DC1_8,s_DC1_9,s_DC1_10,s_DC1_11,s_DC1_12,S_DC1_1,S_DC1_2,S_DC1_3,S_DC1_4,S_DC1_5,S_DC1_6,S_DC1_7,S_DC1_8,S_DC1_9,S_DC1_10,S_DC1_11,S_DC1_12,s_DC2_1,s_DC2_2,s_DC2_3,s_DC2_4,s_DC2_5,s_DC2_6,s_DC2_7,s_DC2_8,s_DC2_9,s_DC2_10,s_DC2_11,s_DC2_12,S_DC2_1,S_DC2_2,S_DC2_3,S_DC2_4,S_DC2_5,S_DC2_6,S_DC2_7,S_DC2_8,S_DC2_9,S_DC2_10,S_DC2_11,S_DC2_12,s_r1_1,s_r1_2,s_r1_3,s_r1_4,s_r1_5,s_r1_6,s_r1_7,s_r1_8,s_r1_9,s_r1_10,s_r1_11,s_r1_12,S_r2_1,S_r2_2,S_r2_3,S_r2_4,S_r2_5,S_r2_6,S_r2_7,S_r2_8,S_r2_9,S_r2_10,S_r2_11,S_r2_12,profit
17,10700,15700,8900,10800,10800,17600,5000,6100,6300,14400,8500,13400,25860,41274,36110,28719,31043,29814,28379,42653,41666,22916,41019,31076,58900,95158,68177,85930,86687,92211,55201,82784,95990,93226,81688,70506,25860,41274,36110,28719,31043,29814,28379,42653,41666,22916,41019,31076,58900,95158,68177,85930,86687,92211,55201,82784,95990,93226,81688,70506,25860,41274,36110,28719,31043,29814,28379,42653,41666,22916,41019,31076,58900,95158,68177,85930,86687,92211,55201,82784,95990,93226,81688,70506,65106859
18,7600,15900,14100,4500,7700,7300,10500,4700,11500,12300,7000,9900,35592,24321,31922,30926,18864,30683,21289,30612,26684,30166,31034,24315,56187,83449,76882,57338,82649,75865,48628,60800,55185,68518,49523,63673,35592,24321,31922,30926,18864,30683,21289,30612,26684,30166,31034,24315,56187,83449,76882,57338,82649,75865,48628,60800,55185,68518,49523,63673,35592,24321,31922,30926,18864,30683,21289,30612,26684,30166,31034,24315,56187,83449,76882,57338,82649,75865,48628,60800,55185,68518,49523,63673,51306571
19,5600,6500,8700,6500,12600,14100,7200,8200,5500,2600,6000,11100,15925,19487,28961,22569,21426,23716,15793,22835,27332,22671,23400,25414,47059,62709,68191,63971,58076,67230,44827,42648,44920,56879,43855,56697,15925,19487,28961,22569,21426,23716,15793,22835,27332,22671,23400,25414,47059,62709,68191,63971,58076,67230,44827,42648,44920,56879,43855,56697,15925,19487,28961,22569,21426,23716,15793,22835,27332,22671,23400,25414,47059,62709,68191,63971,58076,67230,44827,42648,44920,56879,43855,56697,40111043
20,35300,64700,53900,33300,67000,73500,55400,41300,60000,44700,41800,41500,131777,147256,120825,197791,175442,193302,196343,198961,135909,121474,125099,148766,456107,261762,287483,322802,270609,295809,288217,361243,327827,291742,427412,437118,131777,147256,120825,197791,175442,193302,196343,198961,135909,121474,125099,148766,456107,261762,287483,322802,270609,295809,288217,361243,327827,291742,427412,437118,131777,147256,120825,197791,175442,193302,196343,198961,135909,121474,125099,148766,456107,261762,287483,322802,270609,295809,288217,361243,327827,291742,427412,437118,265700062
21,36100,57400,41200,59100,41500,57200,44900,48800,33200,53200,42700,42500,182726,108517,107935,115002,122522,144707,150601,158660,161982,172671,172628,118579,336310,358886,276597,247027,404428,284295,347894,403325,308557,243655,376675,350630,182726,108517,107935,115002,122522,144707,150601,158660,161982,172671,172628,118579,336310,358886,276597,247027,404428,284295,347894,403325,308557,243655,376675,350630,182726,108517,107935,115002,122522,144707,150601,158660,161982,172671,172628,118579,336310,358886,276597,247027,404428,284295,347894,403325,308557,243655,376675,350630,245665151
22,39000,72500,45600,55700,58400,70700,29700,51900,62000,46900,32900,49600,145377,191233,112698,102528,148771,171884,106349,134638,182018,141349,127274,145522,337501,348777,449372,256317,272308,270162,384532,323736,346576,278582,306498,367849,145377,191233,112698,102528,148771,171884,106349,134638,182018,141349,127274,145522,337501,348777,449372,256317,272308,270162,384532,323736,346576,278582,306498,367849,145377,191233,112698,102528,148771,171884,106349,134638,182018,141349,127274,145522,337501,348777,449372,256317,272308,270162,384532,323736,346576,278582,306498,367849,128470184
23,60800,51600,37600,71800,67700,52200,50200,47600,40500,109200,22600,52000,191083,212376,208722,130687,217473,146928,137170,131562,187722,111360,127495,213650,422149,428392,414265,386412,321348,472305,411460,336070,468981,299667,351087,432739,191083,212376,208722,130687,217473,146928,137170,131562,187722,111360,127495,213650,422149,428392,414265,386412,321348,472305,411460,336070,468981,299667,351087,432739,191083,212376,208722,130687,217473,146928,137170,131562,187722,111360,127495,213650,422149,428392,414265,386412,321348,472305,411460,336070,468981,299667,351087,432739,354787405
24,49800,43000,46200,48900,59400,77800,40100,40400,50400,51700,53300,37600,120754,122721,155030,155797,184878,195006,191419,121199,149054,151363,118770,109491,405439,398651,375534,256382,336539,320015,404961,345851,389398,368465,284842,251471,120754,122721,155030,155797,184878,195006,191419,121199,149054,151363,118770,109491,405439,398651,375534,256382,336539,320015,404961,345851,389398,368465,284842,251471,120754,122721,155030,155797,184878,195006,191419,121199,149054,151363,118770,109491,405439,398651,375534,256382,336539,320015,404961,345851,389398,368465,284842,251471,177417009
25,16200,9700,2900,4700,10800,3400,3000,5000,4600,4300,5700,3200,13295,12887,19011,19144,19611,18952,12494,23454,21503,12469,14212,18097,44131,44807,46949,53973,43906,41242,50433,30955,35460,54249,46072,40924,13295,12887,19011,19144,19611,18952,12494,23454,21503,12469,14212,18097,44131,44807,46949,53973,43906,41242,50433,30955,35460,54249,46072,40924,13295,12887,19011,19144,19611,18952,12494,23454,21503,12469,14212,18097,44131,44807,46949,53973,43906,41242,50433,30955,35460,54249,46072,40924,30106610
26,9400,8400,6200,17000,17500,6100,7800,6100,6800,7900,4500,5400,17436,33880,28819,17773,26169,30300,31286,22734,28061,21967,18904,25624,47556,55534,52455,55778,65404,69830,55287,53235,54896,44247,74736,46348,17436,33880,28819,17773,26169,30300,31286,22734,28061,21967,18904,25624,47556,55534,52455,55778,65404,69830,55287,53235,54896,44247,74736,46348,17436,33880,28819,17773,26169,30300,31286,22734,28061,21967,18904,25624,47556,55534,52455,55778,65404,69830,55287,53235,54896,44247,74736,46348,48507870
27,6100,13500,9800,12200,9500,12100,8400,5800,2900,14600,11000,11700,25149,24072,38908,30628,33415,33739,34078,24525,25046,37735,30575,35143,66165,63816,77655,73112,52606,88016,80331,80901,69792,67410,61073,72568,25149,24072,38908,30628,33415,33739,34078,24525,25046,37735,30575,35143,66165,63816,77655,73112,52606,88016,80331,80901,69792,67410,61073,72568,25149,24072,38908,30628,33415,33739,34078,24525,25046,37735,30575,35143,66165,63816,77655,73112,52606,88016,80331,80901,69792,67410,61073,72568,63417831
28,9500,18400,5100,5400,13900,16200,6000,21300,13100,16200,5100,9700,30258,37900,37891,43714,32419,28992,28244,37564,24708,36515,44277,26076,67693,60694,65751,80446,78930,66256,95499,97946,93269,84119,86305,87532,30258,37900,37891,43714,32419,28992,28244,37564,24708,36515,44277,26076,67693,60694,65751,80446,78930,66256,95499,97946,93269,84119,86305,87532,30258,37900,37891,43714,32419,28992,28244,37564,24708,36515,44277,26076,67693,60694,65751,80446,78930,66256,95499,97946,93269,84119,86305,87532,62862214
29,9400,13200,14500,8400,8300,21100,16800,3900,5500,7100,7500,6800,31867,28917,26936,36114,34407,25838,29641,22175,32647,31667,25311,24690,53640,69757,89089,55480,71964,59983,75631,82701,84760,82373,85448,77367,31867,28917,26936,36114,34407,25838,29641,22175,32647,31667,25311,24690,53640,69757,89089,55480,71964,59983,75631,82701,84760,82373,85448,77367,31867,28917,26936,36114,34407,25838,29641,22175,32647,31667,25311,24690,53640,69757,89089,55480,71964,59983,75631,82701,84760,82373,85448,77367,55509625
